ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),YYYY-MO-DD HH-MI-SS_SSS
4.2808,-7.5682,-6.9762,2.8618,-6.244,-6.9995,0.8805,-1.4642,3.1874,-0.8081,-0.4271,-0.0061,2.1352,-22.02,10.56,43.3,182.25,43.75,-154.09,2021-03-19 12:20:27:874
-7.2313,-7.1289,3.1161,2.41,-4.8918,-8.1506,-1.9818,0.4808,0.7333,-1.5564,1.4217,0.4169,2.1352,-24.68,4.94,44.76,204.43,32.29,-162.51,2021-03-19 12:20:28:374
5.5341,-2.8518,-10.2621,2.5927,-4.3747,-8.3851,-0.6509,-3.0113,1.7246,-0.5821,0.4706,0.9817,2.1352,-32.3,0.46,34.12,227.66,26.49,-162.82,2021-03-19 12:20:28:874
0.1988,-6.7195,-3.6939,2.1768,-4.3938,-8.4927,0.3518,-0.6474,-1.3619,-0.0855,0.5271,0.6952,2.1352,-35.06,10.83,22.36,262.77,26.62,-165.62,2021-03-19 12:20:29:375
-0.8258,-6.8476,1.1075,2.119,-3.7405,-8.8141,-2.5432,-2.8243,4.8223,-0.3814,0.4199,1.2755,2.1208,-32.05,22.03,19.54,287.44,25.66,-168.79,2021-03-19 12:20:29:875
4.4472,-3.5353,-17.8215,1.3137,-3.532,-9.0537,2.874,-12.8171,6.6305,0.0162,1.0329,1.0602,2.1208,-16.48,37.31,23.41,330.72,20.28,-177.16,2021-03-19 12:20:30:375
4.8422,-5.6912,-4.8059,1.6815,-5.6511,-7.8363,3.4065,0.5227,-1.7054,1.2184,-0.4506,0.1069,2.1208,-0.74,42.37,22.29,9.47,35.19,-167.89,2021-03-19 12:20:30:875
8.504,-11.1665,-4.1643,2.3208,-7.0867,-6.3688,2.1964,-1.4256,2.5334,0.2496,-0.6357,1.2208,2.1208,0.39,47.41,8.05,5.78,46.27,-159.98,2021-03-19 12:20:31:375
2.0052,-7.9632,-7.0767,3.5899,-5.088,-7.5759,1.9635,-1.8208,4.8724,-0.6059,-0.5939,0.3329,2.1208,2.24,46.79,13.54,15.02,37.48,-153.1,2021-03-19 12:20:31:876
1.1912,-4.7731,-10.5147,2.6523,-6.7007,-6.6511,-2.0683,-1.7136,0.1865,1.603,-1.2148,-0.7749,2.1208,8,42.95,21.95,38.68,43.1,-158.26,2021-03-19 12:20:32:375
